tranche_id	generation	heavy_atom_bin	logp_bin	url	expected_bytes
zinc-22f-H12P180	f	12	180	https://files.docking.org/zinc22/zinc-22f/H12/H12P180/H12P180-M.f.smi.gz	3089
zinc-22f-H12P190	f	12	190	https://files.docking.org/zinc22/zinc-22f/H12/H12P190/H12P190-M.f.smi.gz	3062
zinc-22f-H12P200	f	12	200	https://files.docking.org/zinc22/zinc-22f/H12/H12P200/H12P200-M.f.smi.gz	2633
zinc-22f-H12P210	f	12	210	https://files.docking.org/zinc22/zinc-22f/H12/H12P210/H12P210-M.f.smi.gz	2112
zinc-22f-H12P220	f	12	220	https://files.docking.org/zinc22/zinc-22f/H12/H12P220/H12P220-M.f.smi.gz	1541
zinc-22f-H12P230	f	12	230	https://files.docking.org/zinc22/zinc-22f/H12/H12P230/H12P230-M.f.smi.gz	1730
zinc-22f-H12P240	f	12	240	https://files.docking.org/zinc22/zinc-22f/H12/H12P240/H12P240-M.f.smi.gz	1595
zinc-22f-H12P250	f	12	250	https://files.docking.org/zinc22/zinc-22f/H12/H12P250/H12P250-M.f.smi.gz	1345
zinc-22f-H12P260	f	12	260	https://files.docking.org/zinc22/zinc-22f/H12/H12P260/H12P260-M.f.smi.gz	1101
zinc-22f-H12P270	f	12	270	https://files.docking.org/zinc22/zinc-22f/H12/H12P270/H12P270-M.f.smi.gz	973
zinc-22f-H12P280	f	12	280	https://files.docking.org/zinc22/zinc-22f/H12/H12P280/H12P280-M.f.smi.gz	775
zinc-22f-H12P290	f	12	290	https://files.docking.org/zinc22/zinc-22f/H12/H12P290/H12P290-M.f.smi.gz	516
zinc-22f-H12P300	f	12	300	https://files.docking.org/zinc22/zinc-22f/H12/H12P300/H12P300-M.f.smi.gz	345
zinc-22f-H12P310	f	12	310	https://files.docking.org/zinc22/zinc-22f/H12/H12P310/H12P310-M.f.smi.gz	233
zinc-22f-H12P320	f	12	320	https://files.docking.org/zinc22/zinc-22f/H12/H12P320/H12P320-M.f.smi.gz	214
zinc-22f-H12P330	f	12	330	https://files.docking.org/zinc22/zinc-22f/H12/H12P330/H12P330-M.f.smi.gz	151
zinc-22f-H12P340	f	12	340	https://files.docking.org/zinc22/zinc-22f/H12/H12P340/H12P340-M.f.smi.gz	133
zinc-22f-H12P350	f	12	350	https://files.docking.org/zinc22/zinc-22f/H12/H12P350/H12P350-M.f.smi.gz	105
zinc-22f-H12P360	f	12	360	https://files.docking.org/zinc22/zinc-22f/H12/H12P360/H12P360-M.f.smi.gz	59
zinc-22f-H12P370	f	12	370	https://files.docking.org/zinc22/zinc-22f/H12/H12P370/H12P370-M.f.smi.gz	61
zinc-22f-H12P380	f	12	380	https://files.docking.org/zinc22/zinc-22f/H12/H12P380/H12P380-M.f.smi.gz	90
zinc-22f-H13P000	f	13	0	https://files.docking.org/zinc22/zinc-22f/H13/H13P000/H13P000-M.f.smi.gz	8697
zinc-22f-H13P010	f	13	10	https://files.docking.org/zinc22/zinc-22f/H13/H13P010/H13P010-M.f.smi.gz	11120
zinc-22f-H13P020	f	13	20	https://files.docking.org/zinc22/zinc-22f/H13/H13P020/H13P020-M.f.smi.gz	11194
zinc-22f-H13P030	f	13	30	https://files.docking.org/zinc22/zinc-22f/H13/H13P030/H13P030-M.f.smi.gz	12847
zinc-22f-H13P040	f	13	40	https://files.docking.org/zinc22/zinc-22f/H13/H13P040/H13P040-M.f.smi.gz	12428
zinc-22f-H13P050	f	13	50	https://files.docking.org/zinc22/zinc-22f/H13/H13P050/H13P050-M.f.smi.gz	12149
zinc-22f-H13P060	f	13	60	https://files.docking.org/zinc22/zinc-22f/H13/H13P060/H13P060-M.f.smi.gz	13621
zinc-22f-H13P070	f	13	70	https://files.docking.org/zinc22/zinc-22f/H13/H13P070/H13P070-M.f.smi.gz	15245
zinc-22f-H13P080	f	13	80	https://files.docking.org/zinc22/zinc-22f/H13/H13P080/H13P080-M.f.smi.gz	13021
zinc-22f-H13P090	f	13	90	https://files.docking.org/zinc22/zinc-22f/H13/H13P090/H13P090-M.f.smi.gz	14054
zinc-22f-H13P100	f	13	100	https://files.docking.org/zinc22/zinc-22f/H13/H13P100/H13P100-M.f.smi.gz	14572
zinc-22f-H13P110	f	13	110	https://files.docking.org/zinc22/zinc-22f/H13/H13P110/H13P110-M.f.smi.gz	16084
zinc-22f-H13P120	f	13	120	https://files.docking.org/zinc22/zinc-22f/H13/H13P120/H13P120-M.f.smi.gz	13509
zinc-22f-H13P130	f	13	130	https://files.docking.org/zinc22/zinc-22f/H13/H13P130/H13P130-M.f.smi.gz	15019
zinc-22f-H13P140	f	13	140	https://files.docking.org/zinc22/zinc-22f/H13/H13P140/H13P140-M.f.smi.gz	12361
zinc-22f-H13P150	f	13	150	https://files.docking.org/zinc22/zinc-22f/H13/H13P150/H13P150-M.f.smi.gz	14523
zinc-22f-H13P160	f	13	160	https://files.docking.org/zinc22/zinc-22f/H13/H13P160/H13P160-M.f.smi.gz	12532
zinc-22f-H13P170	f	13	170	https://files.docking.org/zinc22/zinc-22f/H13/H13P170/H13P170-M.f.smi.gz	12649
zinc-22f-H13P180	f	13	180	https://files.docking.org/zinc22/zinc-22f/H13/H13P180/H13P180-M.f.smi.gz	10443
zinc-22f-H13P190	f	13	190	https://files.docking.org/zinc22/zinc-22f/H13/H13P190/H13P190-M.f.smi.gz	9841
zinc-22f-H13P200	f	13	200	https://files.docking.org/zinc22/zinc-22f/H13/H13P200/H13P200-M.f.smi.gz	8866
zinc-22f-H13P210	f	13	210	https://files.docking.org/zinc22/zinc-22f/H13/H13P210/H13P210-M.f.smi.gz	8069
zinc-22f-H13P220	f	13	220	https://files.docking.org/zinc22/zinc-22f/H13/H13P220/H13P220-M.f.smi.gz	6945
zinc-22f-H13P230	f	13	230	https://files.docking.org/zinc22/zinc-22f/H13/H13P230/H13P230-M.f.smi.gz	6816
zinc-22f-H13P240	f	13	240	https://files.docking.org/zinc22/zinc-22f/H13/H13P240/H13P240-M.f.smi.gz	6062
zinc-22f-H13P250	f	13	250	https://files.docking.org/zinc22/zinc-22f/H13/H13P250/H13P250-M.f.smi.gz	4256
zinc-22f-H13P260	f	13	260	https://files.docking.org/zinc22/zinc-22f/H13/H13P260/H13P260-M.f.smi.gz	3997
zinc-22f-H13P270	f	13	270	https://files.docking.org/zinc22/zinc-22f/H13/H13P270/H13P270-M.f.smi.gz	3302
zinc-22f-H13P280	f	13	280	https://files.docking.org/zinc22/zinc-22f/H13/H13P280/H13P280-M.f.smi.gz	2333
zinc-22f-H13P290	f	13	290	https://files.docking.org/zinc22/zinc-22f/H13/H13P290/H13P290-M.f.smi.gz	1843
zinc-22f-H13P300	f	13	300	https://files.docking.org/zinc22/zinc-22f/H13/H13P300/H13P300-M.f.smi.gz	1357
zinc-22f-H13P310	f	13	310	https://files.docking.org/zinc22/zinc-22f/H13/H13P310/H13P310-M.f.smi.gz	2031
zinc-22f-H13P320	f	13	320	https://files.docking.org/zinc22/zinc-22f/H13/H13P320/H13P320-M.f.smi.gz	1550
zinc-22f-H13P330	f	13	330	https://files.docking.org/zinc22/zinc-22f/H13/H13P330/H13P330-M.f.smi.gz	858
zinc-22f-H13P340	f	13	340	https://files.docking.org/zinc22/zinc-22f/H13/H13P340/H13P340-M.f.smi.gz	568
zinc-22f-H13P350	f	13	350	https://files.docking.org/zinc22/zinc-22f/H13/H13P350/H13P350-M.f.smi.gz	446
zinc-22f-H13P360	f	13	360	https://files.docking.org/zinc22/zinc-22f/H13/H13P360/H13P360-M.f.smi.gz	543
zinc-22f-H13P370	f	13	370	https://files.docking.org/zinc22/zinc-22f/H13/H13P370/H13P370-M.f.smi.gz	231
zinc-22f-H13P380	f	13	380	https://files.docking.org/zinc22/zinc-22f/H13/H13P380/H13P380-M.f.smi.gz	482
zinc-22f-H13P390	f	13	390	https://files.docking.org/zinc22/zinc-22f/H13/H13P390/H13P390-M.f.smi.gz	226
zinc-22f-H13P400	f	13	400	https://files.docking.org/zinc22/zinc-22f/H13/H13P400/H13P400-M.f.smi.gz	210
zinc-22f-H13P410	f	13	410	https://files.docking.org/zinc22/zinc-22f/H13/H13P410/H13P410-M.f.smi.gz	128
zinc-22f-H13P430	f	13	430	https://files.docking.org/zinc22/zinc-22f/H13/H13P430/H13P430-M.f.smi.gz	102
zinc-22f-H13P440	f	13	440	https://files.docking.org/zinc22/zinc-22f/H13/H13P440/H13P440-M.f.smi.gz	128
zinc-22f-H14P000	f	14	0	https://files.docking.org/zinc22/zinc-22f/H14/H14P000/H14P000-M.f.smi.gz	27713
zinc-22f-H14P010	f	14	10	https://files.docking.org/zinc22/zinc-22f/H14/H14P010/H14P010-M.f.smi.gz	33657
zinc-22f-H14P020	f	14	20	https://files.docking.org/zinc22/zinc-22f/H14/H14P020/H14P020-M.f.smi.gz	31076
zinc-22f-H14P030	f	14	30	https://files.docking.org/zinc22/zinc-22f/H14/H14P030/H14P030-M.f.smi.gz	36033
zinc-22f-H14P040	f	14	40	https://files.docking.org/zinc22/zinc-22f/H14/H14P040/H14P040-M.f.smi.gz	37718
zinc-22f-H14P050	f	14	50	https://files.docking.org/zinc22/zinc-22f/H14/H14P050/H14P050-M.f.smi.gz	41236
zinc-22f-H14P060	f	14	60	https://files.docking.org/zinc22/zinc-22f/H14/H14P060/H14P060-M.f.smi.gz	39469
zinc-22f-H14P070	f	14	70	https://files.docking.org/zinc22/zinc-22f/H14/H14P070/H14P070-M.f.smi.gz	43679
zinc-22f-H14P080	f	14	80	https://files.docking.org/zinc22/zinc-22f/H14/H14P080/H14P080-M.f.smi.gz	41247
zinc-22f-H14P090	f	14	90	https://files.docking.org/zinc22/zinc-22f/H14/H14P090/H14P090-M.f.smi.gz	41402
zinc-22f-H14P100	f	14	100	https://files.docking.org/zinc22/zinc-22f/H14/H14P100/H14P100-M.f.smi.gz	41168
zinc-22f-H14P110	f	14	110	https://files.docking.org/zinc22/zinc-22f/H14/H14P110/H14P110-M.f.smi.gz	42917
zinc-22f-H14P120	f	14	120	https://files.docking.org/zinc22/zinc-22f/H14/H14P120/H14P120-M.f.smi.gz	40182
zinc-22f-H14P130	f	14	130	https://files.docking.org/zinc22/zinc-22f/H14/H14P130/H14P130-M.f.smi.gz	40771
zinc-22f-H14P140	f	14	140	https://files.docking.org/zinc22/zinc-22f/H14/H14P140/H14P140-M.f.smi.gz	40088
zinc-22f-H14P150	f	14	150	https://files.docking.org/zinc22/zinc-22f/H14/H14P150/H14P150-M.f.smi.gz	40752
zinc-22f-H14P160	f	14	160	https://files.docking.org/zinc22/zinc-22f/H14/H14P160/H14P160-M.f.smi.gz	39841
zinc-22f-H14P170	f	14	170	https://files.docking.org/zinc22/zinc-22f/H14/H14P170/H14P170-M.f.smi.gz	34266
zinc-22f-H14P180	f	14	180	https://files.docking.org/zinc22/zinc-22f/H14/H14P180/H14P180-M.f.smi.gz	33290
zinc-22f-H14P190	f	14	190	https://files.docking.org/zinc22/zinc-22f/H14/H14P190/H14P190-M.f.smi.gz	36520
